#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:SimTree" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:SimTree" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:SimTree" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:SimTree" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:SimTree" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.SimTree" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:SimTree" name="distribution">
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#            <parameter id="gammaShape.s:SimTree" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#        </prior>
#        <prior id="PopSizePrior.t:SimTree" name="distribution" x="@popSize.t:SimTree">
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean" spec="beast.core.parameter.RealParameter">0.33</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@SimTree" id="treeLikelihood.SimTree" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:SimTree">
#            <branchRateModel id="StrictClock.c:SimTree" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:SimTree" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:SimTree" shape="@gammaShape.s:SimTree" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:SimTree" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:SimTree" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:SimTree" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	popSize	CoalescentConstant
79000	-18680.464039559	-18624.915791474617	-55.54824808438371	-18624.915791474617	4.25333735853787	9.151226192694146	2.8274972992191825	-38.93751088221365
80000	-18673.277827708196	-18621.49790905153	-51.779918656667576	-18621.49790905153	1.9617493784722833	9.151226192694146	1.982850248241556	-37.728717972611534
81000	-18677.979464506858	-18625.655688586605	-52.32377592025131	-18625.655688586605	2.227326764532661	9.151226192694146	1.801172236181106	-38.823114666681484
82000	-18687.762703860128	-18632.066975203885	-55.69572865624123	-18632.066975203885	7.056582090623986	9.151226192694146	1.9705458090035606	-41.68181415169427
83000	-18679.53424473716	-18626.2238362538	-53.31040848335605	-18626.2238362538	3.467611367135005	9.151226192694146	2.080164910399716	-38.964314883669225
84000	-18675.972687020127	-18623.76770341962	-52.204983600505315	-18623.76770341962	2.1241395860880927	9.151226192694146	2.083140293450664	-37.84987368854289
85000	-18678.778917731182	-18626.58176378273	-52.19715394845055	-18626.58176378273	3.1177050817149756	9.151226192694146	2.2422506068701935	-37.359891571580455
86000	-18676.765631001803	-18624.29399508468	-52.47163591712038	-18624.29399508468	3.5873069575042105	9.151226192694146	2.162987741430172	-37.87456404158369
87000	-18684.640921405335	-18629.67053469227	-54.97038671306137	-18629.67053469227	5.716248277111641	9.151226192694146	2.2807123517776677	-40.01657359404742
88000	-18674.31175190818	-18621.93277489542	-52.37897701275731	-18621.93277489542	2.340741106643633	9.151226192694146	2.0612838177120807	-38.090098845457256
89000	-18671.552553285655	-18618.294846536057	-53.25770674959741	-18618.294846536057	2.481330848606074	9.281273172477613	1.555756776295811	-40.37068172801774
90000	-18681.75356562857	-18628.233044556717	-53.52052107185354	-18628.233044556717	2.0940522501989793	10.583394617172631	1.8393223865275736	-38.47208487760381
91000	-18681.201819790644	-18624.20007730782	-57.001742482820546	-18624.20007730782	2.2237477076562913	10.583394617172631	3.2484766957530002	-37.68314171516044
92000	-18678.529578297508	-18624.06174343749	-54.467834860018	-18624.06174343749	4.169152699187069	10.583394617172631	1.9102134498126706	-39.20457726187404
93000	-18673.934963108	-18621.40997120868	-52.52499189932291	-18621.40997120868	2.0635810421168346	10.583394617172631	1.8382148163764873	-37.4799119782583
94000	-18674.377421212877	-18621.99490981872	-52.38251139415817	-18621.99490981872	2.0935333790926287	10.583394617172631	2.3561702490229512	-35.76786955598306
95000	-18672.33079730659	-18620.00234280877	-52.32845449781945	-18620.00234280877	2.0129289026989414	10.583394617172631	1.7837029214665536	-37.44856213708797
96000	-18676.102944450056	-18622.25035897579	-53.85258547426403	-18622.25035897579	3.0491997928377566	10.583394617172631	1.81460910521384	-38.879038011268044
97000	-18682.619174859767	-18625.202401274913	-57.41677358485292	-18625.202401274913	2.530283691257562	10.583394617172631	3.170360456398875	-38.33488869402349
98000	-18672.657144099776	-18619.114054085705	-53.543090014069826	-18619.114054085705	1.997062204628521	10.583394617172631	1.869194470898992	-38.40413235202792
99000	-18681.27757672395	-18628.47705863642	-52.800518087528154	-18628.47705863642	2.3140709776312853	10.583394617172631	2.048020211254842	-37.119664242589735
100000	-18674.316589160535	-18620.385506160022	-53.9310830005141	-18620.385506160022	2.159811875043428	10.583394617172631	2.2651459516237185	-37.59227236657909
101000	-18674.62990531227	-18620.917278673387	-53.71262663888538	-18620.917278673387	2.9289797734163217	10.583394617172631	1.7561324944805055	-38.91628102659647
