#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:SimTree" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:SimTree" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:SimTree" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:SimTree" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:SimTree">
#                    <taxonset id="TaxonSet.SimTree" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:SimTree" name="distribution">
#            <parameter id="gammaShape.s:SimTree" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="PopSizePrior.t:SimTree" name="distribution" x="@popSize.t:SimTree">
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean">0.33</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@SimTree" id="treeLikelihood.SimTree" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:SimTree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:SimTree" shape="@gammaShape.s:SimTree" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:SimTree" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:SimTree" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:SimTree" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:SimTree" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:SimTree" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	popSize	CoalescentConstant
67	-35848.422839784165	-35819.53339297603	-28.88944680813785	-35819.53339297603	1.096144499911747	1.0	0.3	-28.089018523568555
68	-36727.443711497675	-36673.644060855375	-53.799650642299596	-36673.644060855375	2.209211955339369	1.0	0.3	-52.9992223577303
69	-39293.16776556072	-39268.35473252354	-24.81303303718152	-39268.35473252354	0.7313866790056385	1.0	0.3	-24.012604752612223
70	-39191.113394297085	-39156.867379110496	-34.246015186591265	-39156.867379110496	2.646861774770514	1.0	0.3	-33.445586902021965
71	-37314.06892491877	-37289.5129594762	-24.555965442576305	-37289.5129594762	1.631873533566682	1.0	0.3	-23.75553715800701
72	-39023.90874355346	-38990.02222215474	-33.886521398725144	-38990.02222215474	1.2529889078588012	1.0	0.3	-33.086093114155844
73	-40088.184170954206	-40060.8604105635	-27.32376039070681	-40060.8604105635	1.7338299884572357	1.0	0.3	-26.523332106137513
74	-38174.11386473222	-38120.41162419091	-53.70224054131748	-38120.41162419091	2.124568500101036	1.0	0.3	-52.90181225674818
75	-40796.02411714248	-40769.359106788565	-26.66501035391417	-40769.359106788565	0.658148756119359	1.0	0.3	-25.864582069344873
76	-42090.62096469741	-42065.2545702665	-25.366394430909683	-42065.2545702665	1.2347613900576655	1.0	0.3	-24.565966146340386
77	-35312.25243274891	-35273.65193941641	-38.6004933324944	-35273.65193941641	1.2623987695861745	1.0	0.3	-37.8000650479251
78	-34706.945814136576	-34665.04346721731	-41.90234691926646	-34665.04346721731	1.1211172547490122	1.0	0.3	-41.101918634697164
79	-39408.582039760266	-39362.405042579245	-46.17699718102246	-39362.405042579245	1.6351244824033726	1.0	0.3	-45.37656889645316
80	-36155.70867112725	-36113.6027680021	-42.10590312515006	-36113.6027680021	1.7004284043695743	1.0	0.3	-41.30547484058076
81	-39298.49586945571	-39246.65168012201	-51.844189333702055	-39246.65168012201	1.8718615877447022	1.0	0.3	-51.043761049132755
82	-34897.25924740117	-34864.87678826483	-32.382459136337545	-34864.87678826483	1.4636069344909117	1.0	0.3	-31.582030851768245
83	-40514.63771086849	-40485.18012793076	-29.457582937731193	-40485.18012793076	1.7741196784958924	1.0	0.3	-28.657154653161896
84	-41032.4514056305	-41014.595421543134	-17.85598408736085	-41014.595421543134	1.2866068457233903	1.0	0.3	-17.055555802791552
85	-39493.22206677706	-39463.577508063645	-29.64455871341506	-39463.577508063645	0.8931373243443974	1.0	0.3	-28.844130428845762
86	-37151.06375318734	-37101.35223100208	-49.71152218526596	-37101.35223100208	1.2245134163012172	1.0	0.3	-48.91109390069666
87	-37740.68118338401	-37719.507164408125	-21.174018975882703	-37719.507164408125	2.5162007987745167	1.0	0.3	-20.373590691313407
88	-40731.02877036315	-40697.8850462296	-33.14372413354102	-40697.8850462296	0.7660046956771688	1.0	0.3	-32.34329584897172
89	-31453.212367443633	-31393.728192229246	-59.48417521438861	-31393.728192229246	0.6734489644225325	1.0	0.3	-58.68374692981931
